Date,Open,Close,High,Low,Volume
16-11-20,12.8,12.8,12.8,12.8,3000
17-11-20,12.9,13.0,13.0,12.9,16100
18-11-20,13.0,13.0,13.0,13.0,6000
19-11-20,12.6,12.7,12.7,12.6,2550
20-11-20,12.7,12.7,12.7,12.7,0
23-11-20,12.6,12.6,12.6,12.6,600
24-11-20,12.6,12.5,12.6,12.5,400
25-11-20,12.6,12.6,12.6,12.6,400
26-11-20,12.6,12.6,12.6,12.6,0
27-11-20,12.6,12.6,12.6,12.5,5100
30-11-20,12.6,12.6,12.6,12.6,500
01-12-20,12.6,12.6,12.6,12.6,1700
02-12-20,12.6,12.7,12.7,12.6,12300
03-12-20,12.7,12.7,12.7,12.7,13300
04-12-20,12.7,12.7,12.7,12.7,1300
07-12-20,12.8,12.8,12.8,12.8,100
08-12-20,12.8,12.8,12.8,12.8,5300
09-12-20,12.8,12.8,12.8,12.8,100
10-12-20,12.7,12.8,12.8,12.7,1100
11-12-20,12.8,12.8,12.8,12.8,407
14-12-20,12.8,12.9,13.7,12.8,11900
15-12-20,13.0,13.0,13.0,13.0,300
16-12-20,12.9,13.0,13.0,12.5,1733
17-12-20,13.0,13.0,13.0,13.0,30
18-12-20,13.0,13.0,13.0,13.0,200
21-12-20,13.0,12.8,13.0,12.8,2400
22-12-20,13.0,13.0,13.0,12.9,7900
23-12-20,12.8,12.9,12.9,12.8,5100
24-12-20,13.0,13.0,13.0,13.0,100
25-12-20,13.6,13.0,13.6,12.8,3400
28-12-20,12.9,13.0,13.0,12.9,1100
29-12-20,12.9,13.0,13.0,12.9,200
30-12-20,13.0,13.0,13.1,13.0,3591
31-12-20,13.0,13.0,13.0,13.0,13858
04-01-21,13.0,13.0,13.0,13.0,6600
05-01-21,13.0,13.2,13.2,13.0,5897
06-01-21,13.3,13.3,13.3,13.3,200
07-01-21,13.4,13.4,13.4,13.3,1400
08-01-21,13.4,13.4,13.4,13.4,3020
11-01-21,13.4,13.4,13.5,13.4,8500
12-01-21,13.4,13.7,13.7,13.4,28477
13-01-21,13.7,13.7,13.7,13.5,2400
14-01-21,13.7,13.8,13.8,13.7,1900
15-01-21,13.8,13.8,13.8,13.8,3000
18-01-21,13.8,14.0,14.0,13.8,26006
19-01-21,14.0,14.0,14.0,13.9,22900
20-01-21,14.0,14.0,14.0,14.0,7710
21-01-21,14.3,14.9,15.0,14.3,21100
22-01-21,14.5,14.9,14.9,14.5,4600
25-01-21,15.0,15.0,15.0,15.0,120
26-01-21,14.5,14.7,14.7,14.4,2600
27-01-21,14.0,14.0,14.1,14.0,7400
28-01-21,14.0,13.6,14.0,13.0,19100
29-01-21,14.0,14.0,14.0,14.0,1300
01-02-21,14.5,14.5,14.5,14.5,100
02-02-21,14.5,14.5,14.5,14.5,20
03-02-21,14.5,14.5,14.5,14.5,1000
04-02-21,14.8,14.7,14.8,14.5,9300
05-02-21,14.7,14.7,14.8,14.7,9300
08-02-21,14.6,14.6,14.6,14.6,7571
09-02-21,14.6,14.6,14.6,14.6,700
17-02-21,14.8,14.8,14.8,14.8,800
18-02-21,14.9,14.0,14.9,14.0,300
19-02-21,14.5,14.5,14.5,14.5,200
22-02-21,14.6,14.6,14.6,14.6,100
23-02-21,14.7,14.7,14.7,14.7,2700
24-02-21,14.7,14.5,14.7,14.5,1100
25-02-21,14.5,14.5,14.5,14.5,0
26-02-21,14.5,14.5,14.5,14.5,200
01-03-21,14.5,14.5,14.5,14.5,4100
02-03-21,14.5,14.5,14.5,14.5,0
03-03-21,14.5,14.5,14.5,14.5,19
04-03-21,14.5,14.5,14.5,14.5,0
05-03-21,14.5,14.7,14.7,14.5,3900
08-03-21,14.8,14.9,14.9,14.8,3000
09-03-21,14.8,14.9,14.9,14.6,1700
10-03-21,14.9,15.0,15.1,14.9,9600
11-03-21,14.8,15.0,15.1,14.5,22323
12-03-21,15.1,15.1,15.2,15.0,9400
15-03-21,15.1,15.1,15.1,15.0,3300
16-03-21,15.0,15.0,15.0,15.0,135
17-03-21,14.8,15.2,15.2,14.8,8100
18-03-21,15.0,15.0,15.0,15.0,2200
19-03-21,15.0,15.0,15.1,15.0,12100
22-03-21,15.1,15.9,15.9,15.1,63335
23-03-21,15.9,15.3,15.9,15.3,939
24-03-21,15.3,15.5,15.5,15.1,9719
25-03-21,15.1,15.2,15.2,15.1,5700
26-03-21,15.1,15.2,15.2,15.1,3370
29-03-21,15.2,15.5,15.5,15.2,1600
30-03-21,15.3,15.2,15.5,15.2,1912
31-03-21,15.2,15.2,15.2,15.1,8600
01-04-21,15.1,15.2,15.2,15.1,3700
02-04-21,15.4,15.2,15.4,15.2,9200
05-04-21,15.2,15.2,15.2,15.1,5400
06-04-21,15.2,15.3,15.3,15.2,1300
07-04-21,15.3,15.3,15.4,15.3,25788
08-04-21,15.1,15.3,15.3,15.1,15400
09-04-21,15.3,15.3,15.3,15.3,1109
12-04-21,15.2,15.1,15.2,15.1,5600
13-04-21,15.1,15.1,15.1,15.1,11500
14-04-21,15.1,15.1,15.1,15.1,3300
15-04-21,15.1,15.1,15.2,15.0,15250
16-04-21,15.1,15.2,15.2,15.0,16516
19-04-21,15.1,15.2,15.2,15.1,10500
20-04-21,15.2,15.3,15.4,15.0,15200
22-04-21,15.3,15.0,15.3,15.0,10500
23-04-21,15.0,15.2,15.2,15.0,28805
26-04-21,15.1,15.1,15.3,15.1,20400
27-04-21,15.5,15.3,15.5,15.3,5400
28-04-21,15.3,15.4,15.5,15.3,27300
29-04-21,15.3,15.5,15.5,15.3,27200
04-05-21,15.4,15.3,15.4,15.2,29600
05-05-21,15.0,15.1,15.1,15.0,44900
06-05-21,15.1,15.2,15.2,15.1,4300
07-05-21,15.1,15.1,15.2,15.0,8300
10-05-21,15.1,15.0,15.1,15.0,9632
11-05-21,15.0,15.0,15.0,15.0,19100
12-05-21,15.3,15.6,15.6,15.3,3100
13-05-21,14.9,14.9,15.0,14.9,1300
14-05-21,14.7,14.7,14.7,14.7,1300
17-05-21,14.7,14.7,14.8,14.7,3300
18-05-21,14.8,14.8,14.8,14.7,5700
19-05-21,14.8,14.8,14.8,14.8,2500
20-05-21,14.8,14.8,14.8,14.8,8700
21-05-21,14.8,14.8,14.8,14.8,3500
24-05-21,14.8,14.8,14.8,14.8,2900
25-05-21,14.8,14.7,14.8,14.7,6300
26-05-21,14.7,14.8,14.8,14.7,4700
27-05-21,14.8,14.8,14.8,14.8,3000
28-05-21,14.8,14.9,14.9,14.8,4300
31-05-21,14.8,14.8,14.8,14.7,4600
01-06-21,14.8,14.7,14.8,14.7,1800
02-06-21,14.7,14.7,14.7,14.7,20000
03-06-21,14.8,14.8,14.8,14.8,1000
